translator,no,bertscore,metricalDistanceAdjusted
iambic_pentameter_d,41,0.870659354566225,1.84090909090909
iambic_pentameter_d,42,0.876985558874172,0.795454545454545
iambic_pentameter_d,43,0.860661926202897,0.707792207792208
iambic_pentameter_d,44,0.877921064197222,1.05844155844156
iambic_pentameter_d,45,0.890194936263205,1.27272727272727
iambic_pentameter_d,46,0.89196197710796,1.56818181818182
iambic_pentameter_d,47,0.894946315869724,0.681818181818182
iambic_pentameter_d,48,0.857547602874402,1.08441558441558
iambic_pentameter_d,49,0.876313822779616,0.892045454545454
iambic_pentameter_d,50,0.909089937778498,1.0530303030303
iambic_pentameter_d,51,0.884012988489257,1.09090909090909
iambic_pentameter_d,52,0.876824979632576,1.19480519480519
iambic_pentameter_d,53,0.882220650242843,0.75
iambic_pentameter_d,54,0.865991184949051,0.837662337662338
iambic_pentameter_d,55,0.891251741246748,0.681818181818182
iambic_pentameter_d,56,0.891974131345973,1.72727272727273
iambic_pentameter_d,57,0.872227162653319,0.668831168831169
iambic_pentameter_d,58,0.91534732971948,2.35227272727273
iambic_pentameter_d,59,0.86857201333674,1.42207792207792
iambic_pentameter_d,60,0.909139610857398,0.85064935064935
iambic_pentameter_d,61,0.847645647485399,1.09646464646465
iambic_pentameter_d,62,0.855503820594712,0.694805194805195
iambic_pentameter_d,63,0.856982751248458,1.13636363636364
iambic_pentameter_d,64,0.832375741016289,1.51328671328671
iambic_pentameter_d,65,0.851705221736521,0.785714285714285
iambic_pentameter_d,66,0.869861402745186,1.07142857142857
iambic_pentameter_d,67,0.866077873199605,0.762626262626262
iambic_pentameter_d,68,0.855796851588919,2.51515151515152
iambic_pentameter_d,69,0.852621278332729,0.863636363636364
iambic_pentameter_d,70,0.863347493579759,1.28977272727273
iambic_pentameter_d,71,0.873646822526867,0.779220779220779
iambic_pentameter_d,72,0.859463226365329,0.837662337662337
iambic_pentameter_d,73,0.875236317767523,0.766233766233766
iambic_pentameter_d,74,0.87393566433349,1.61118881118881
iambic_pentameter_d,75,0.875613558083485,0.987012987012987
iambic_pentameter_d,76,0.887412606914773,1.53246753246753
iambic_pentameter_d,77,0.860767720946508,0.967532467532468
iambic_pentameter_d,78,0.874694685254203,1.04545454545455
iambic_pentameter_d,79,0.890997763053762,0.701298701298701
iambic_pentameter_d,80,0.862697076498515,2.3034965034965
iambic_pentameter_d,81,0.856688277314465,0.720779220779221
iambic_pentameter_d,82,0.891012877507708,1.47402597402597
iambic_pentameter_d,83,0.873302499081577,1.14935064935065
iambic_pentameter_d,84,0.868062427736742,1.19480519480519
iambic_pentameter_d,85,0.879405481599657,1.26623376623377
iambic_pentameter_d,86,0.859838218568828,0.688311688311688
iambic_pentameter_d,87,0.857759305118281,1.23636363636364
iambic_pentameter_d,88,0.885232216852086,1.79090909090909
iambic_pentameter_d,89,0.875814879493103,1.42424242424242
iambic_pentameter_d,90,0.874574051888034,0.613636363636364
iambic_pentameter_d,91,0.884472414792953,0.954545454545455
iambic_pentameter_d,92,0.869989741768291,1.06060606060606
iambic_pentameter_d,93,0.885467901166204,1.04545454545455
iambic_pentameter_d,94,0.866815345260007,0.936363636363636
iambic_pentameter_d,95,0.888862301197799,1.84848484848485
iambic_pentameter_d,96,0.861776651460198,1.68181818181818
iambic_pentameter_d,97,0.865606445151749,0.852272727272727
iambic_pentameter_d,98,0.858922773670925,0.772727272727273
iambic_pentameter_d,99,0.865271143123745,1.54545454545455
iambic_pentameter_g,0,0.866595611480006,1.47474747474747
iambic_pentameter_g,1,0.845886386738967,0.863636363636364
iambic_pentameter_g,2,0.85963438470303,1.64935064935065
iambic_pentameter_g,3,0.908046510665831,1.31818181818182
iambic_pentameter_g,4,0.871690909741348,0.837662337662337
iambic_pentameter_g,5,0.862026363114273,0.581818181818182
iambic_pentameter_g,6,0.897519640710575,0.818181818181818
iambic_pentameter_g,7,0.862870030016207,1.49230769230769
iambic_pentameter_g,8,0.869482505119413,0.795454545454545
iambic_pentameter_g,9,0.892526769209895,1.45454545454545
iambic_pentameter_g,10,0.901747252882227,1.27272727272727
iambic_pentameter_g,11,0.868729930455867,1.04545454545455
iambic_pentameter_g,12,0.869231320498365,1.94805194805195
iambic_pentameter_g,13,0.931278009573799,2.09090909090909
iambic_pentameter_g,14,0.880040588272586,0.818181818181818
iambic_pentameter_g,15,0.892248017006862,1.27272727272727
iambic_pentameter_g,16,0.880774099840687,0.727272727272727
iambic_pentameter_g,17,0.906804481771369,1.06818181818182
iambic_pentameter_g,18,0.896257844102177,1.31818181818182
iambic_pentameter_g,19,0.903381852960539,0.954545454545454
iambic_pentameter_g,20,0.861254069675997,1.81818181818182
iambic_pentameter_g,21,0.911420409721978,1.02272727272727
iambic_pentameter_g,22,0.889735576570004,2.18181818181818
